0: 1, 2, 
1 0 2 1 0  | 0 2 1 0 : 0.427861
1 0 2 1 1  | 0 2 1 1 : 0.256881
1 0 2 1 2  | 0 2 1 2 : 0.753036
1 0 2 2 0  | 0 2 2 0 : 0.416667
1 0 2 2 1  | 0 2 2 1 : 0.160000
1 0 2 2 2  | 0 2 2 2 : 0.552632
1 1 0 0 0  | 1 0 0 0 : 0.215190
1 1 0 0 1  | 1 0 0 1 : 0.029412
1 1 0 0 2  | 1 0 0 2 : 0.397260
1 1 0 1 0  | 1 0 1 0 : 0.233480
1 1 0 1 1  | 1 0 1 1 : 0.059925
1 1 0 1 2  | 1 0 1 2 : 0.394958
1 1 0 2 0  | 1 0 2 0 : 0.010753
1 1 0 2 1  | 1 0 2 1 : 0.004831
1 1 0 2 2  | 1 0 2 2 : 0.122222
1 1 1 0 0  | 1 1 0 0 : 0.157143
1 1 1 0 1  | 1 1 0 1 : 0.064935
1 1 1 0 2  | 1 1 0 2 : 0.413333
1 1 1 1 0  | 1 1 1 0 : 0.189349
1 1 1 1 1  | 1 1 1 1 : 0.071429
1 1 1 1 2  | 1 1 1 2 : 0.483871
1 1 1 2 0  | 1 1 2 0 : 0.086957
1 1 1 2 1  | 1 1 2 1 : 0.010204
1 1 1 2 2  | 1 1 2 2 : 0.296875
1 1 2 0 0  | 1 2 0 0 : 0.304878
1 1 2 0 1  | 1 2 0 1 : 0.164384
1 1 2 0 2  | 1 2 0 2 : 0.579439
1 1 2 1 0  | 1 2 1 0 : 0.374486
1 1 2 1 1  | 1 2 1 1 : 0.126437
1 1 2 1 2  | 1 2 1 2 : 0.613281
1 1 2 2 0  | 1 2 2 0 : 0.280000
1 1 2 2 1  | 1 2 2 1 : 0.069565
1 1 2 2 2  | 1 2 2 2 : 0.421875
1 2 0 0 0  | 2 0 0 0 : 0.197674
1 2 0 0 1  | 2 0 0 1 : 0.057143
1 2 0 0 2  | 2 0 0 2 : 0.285714
1 2 0 1 0  | 2 0 1 0 : 0.258065
1 2 0 1 1  | 2 0 1 1 : 0.054545
1 2 0 1 2  | 2 0 1 2 : 0.442478
1 2 0 2 0  | 2 0 2 0 : 0.180328
1 2 0 2 1  | 2 0 2 1 : 0.019608
1 2 0 2 2  | 2 0 2 2 : 0.176471
1 2 1 0 0  | 2 1 0 0 : 0.346667
1 2 1 0 1  | 2 1 0 1 : 0.126761
1 2 1 0 2  | 2 1 0 2 : 0.443299
1 2 1 1 0  | 2 1 1 0 : 0.335938
1 2 1 1 1  | 2 1 1 1 : 0.134615
1 2 1 1 2  | 2 1 1 2 : 0.598425
1 2 1 2 0  | 2 1 2 0 : 0.150685
1 2 1 2 1  | 2 1 2 1 : 0.060606
1 2 1 2 2  | 2 1 2 2 : 0.262500
2 0 1 0 0  | 0 1 0 0 : 0.965116
2 0 1 0 1  | 0 1 0 1 : 0.910959
2 0 1 0 2  | 0 1 0 2 : 0.949045
2 0 1 1 0  | 0 1 1 0 : 0.936639
2 0 1 1 1  | 0 1 1 1 : 0.785100
2 0 1 1 2  | 0 1 1 2 : 0.931035
2 0 1 2 0  | 0 1 2 0 : 0.690909
2 0 1 2 1  | 0 1 2 1 : 0.314286
2 0 1 2 2  | 0 1 2 2 : 0.650000
2 0 2 0 0  | 0 2 0 0 : 0.700000
2 0 2 0 1  | 0 2 0 1 : 0.853659
2 0 2 0 2  | 0 2 0 2 : 0.373494
2 0 2 1 0  | 0 2 1 0 : 0.572139
2 0 2 1 1  | 0 2 1 1 : 0.743119
2 0 2 1 2  | 0 2 1 2 : 0.246964
2 0 2 2 0  | 0 2 2 0 : 0.583333
2 0 2 2 1  | 0 2 2 1 : 0.840000
2 0 2 2 2  | 0 2 2 2 : 0.447368
2 1 0 0 0  | 1 0 0 0 : 0.683544
2 1 0 0 1  | 1 0 0 1 : 0.450980
2 1 0 0 2  | 1 0 0 2 : 0.479452
2 1 0 1 0  | 1 0 1 0 : 0.572687
2 1 0 1 1  | 1 0 1 1 : 0.363296
2 1 0 1 2  | 1 0 1 2 : 0.432773
2 1 0 2 0  | 1 0 2 0 : 0.322581
2 1 0 2 1  | 1 0 2 1 : 0.101449
2 1 0 2 2  | 1 0 2 2 : 0.188889
2 1 1 0 0  | 1 1 0 0 : 0.771429
2 1 1 0 1  | 1 1 0 1 : 0.688312
2 1 1 0 2  | 1 1 0 2 : 0.520000
2 1 1 1 0  | 1 1 1 0 : 0.680473
2 1 1 1 1  | 1 1 1 1 : 0.461538
2 1 1 1 2  | 1 1 1 2 : 0.381720
2 1 1 2 0  | 1 1 2 0 : 0.413043
2 1 1 2 1  | 1 1 2 1 : 0.142857
2 1 1 2 2  | 1 1 2 2 : 0.328125
2 1 2 0 0  | 1 2 0 0 : 0.670732
2 1 2 0 1  | 1 2 0 1 : 0.643836
2 1 2 0 2  | 1 2 0 2 : 0.355140
2 1 2 1 0  | 1 2 1 0 : 0.526749
2 1 2 1 1  | 1 2 1 1 : 0.517241
2 1 2 1 2  | 1 2 1 2 : 0.277344
2 1 2 2 0  | 1 2 2 0 : 0.180000
2 1 2 2 1  | 1 2 2 1 : 0.113043
2 1 2 2 2  | 1 2 2 2 : 0.171875
2 2 0 0 0  | 2 0 0 0 : 0.720930
